,POPESTIMATE,Amount Overpaid,Total Unemployment Paid,Improper_Payment_Rate,Fraud Rate,Unemploy_Year,State,Code,FFTOT_CAPI,OTHCP_FF,TOTAL_CAPI,GFTOT_CAPI,OFTOT_CAPI,FFTOT_CAP,TOTAL REV,party
40,5148714,141362082.0,563883924.0,0.25432,0.14525,2021,South Carolina,SC,8993.0,32.0,26949.0,8658.0,9174.0,45.0,9793.0,
41,884659,5821742.0,58171870.0,0.10577,0.03366,2021,South Dakota,SD,1834.0,8.0,4851.0,1703.0,1274.0,8.0,1741.0,
42,6829174,351917980.0,774120904.0,0.45569,0.16279,2021,Tennessee,TN,14238.0,13.0,36048.0,15208.0,6602.0,1133.0,16195.0,
43,28995881,967802409.0,6960290889.0,0.14397,0.08482,2021,Texas,TX,47930.0,0.0,136396.0,63100.0,24961.0,5355.0,56983.2,
44,3205958,18666288.0,319386283.0,0.05919,0.01676,2021,Utah,UT,4786.0,4.0,18155.0,7279.0,5023.0,422.0,7244.352,
45,623989,6050495.0,46377475.0,0.13379,0.03659,2021,Vermont,VT,2224.0,0.0,6175.0,1539.0,2347.0,222.0,1459.0,
46,8535519,1096340468.0,2348064848.0,0.46996,0.08289,2021,Virginia,VA,15065.0,20.0,64426.0,21915.0,25974.0,25.0,21972.0,
47,7614893,92315701.0,1355412524.0,0.06898,0.01375,2021,Washington,WA,14124.82776225,17.0,54298.50200031001,23966.82727677,13437.846961290006,55.0,23817.0,
48,1792147,25376578.0,193208901.0,0.14011,0.05381,2021,West Virginia,WV,4853.0,8.0,18496.0,3850.0,9334.0,542.0,4495.0,
49,5822434,142072684.0,957753278.0,0.15928,0.03791,2021,Wisconsin,WI,12952.599999999999,0.0,51834.1,17327.4,21554.1,0.0,17531.9,
50,578759,16307208.0,116400135.0,0.14373,0.01782,2021,Wyoming,WY,844.0,68.0,4708.0,1507.0,2357.0,69.0,1196.0,
0,4903185,13468990.0,140932713.0,0.09757,,2020,Alabama,AL,10652.0,0.0,28886.0,9035.0,8835.0,281.0,9367.0,
1,731545,7228731.0,79074510.0,0.1003,,2020,Alaska,AK,3817.2,117.0,11223.300000000001,5887.0,1519.1000000000001,1198.5,2626.8999999999996,
